4	8
12	7
27	7
32	7
33	8
37	8
38	8
39	6
43	7
49	7
50	8
55	7
56	8
59	8
63	8
64	8
70	7
77	8
82	7
84	8
85	8
94	8
95	8
100	7
101	8
109	8
114	8
118	7
119	8
120	7
139	8
141	7
143	8
148	7
149	7
184	5
203	7
204	7
210	7
215	8
220	6
221	7
222	8
229	7
230	8
235	7
238	8
240	8
246	8
251	6
254	7
259	8
288	8
292	8
293	7
301	8
303	8
305	6
308	8
312	8
316	8
325	8
328	7
334	8
336	7
339	8
347	8
350	8
352	8
357	5
359	8
360	7
363	8
364	8
367	7
368	8
374	6
377	8
383	8
385	7
387	7
391	7
396	8
401	8
404	8
415	7
420	7
425	8
435	7
437	8
443	7
447	7
453	7
457	7
458	7
459	7
464	8
469	7
478	7
484	8
488	7
489	7
497	8
499	7
504	7
506	7
509	8
513	6
519	7
525	8
527	7
529	8
532	8
533	7
535	8
548	8
550	7
555	7
558	8
577	7
580	7
581	7
583	8
585	7
586	8
587	7
591	7
594	8
607	8
609	7
617	7
628	7
636	7
644	8
649	7
655	8
658	7
662	8
663	7
669	7
674	7
675	7
678	7
685	7
686	8
694	8
698	7
709	8
712	7
716	8
718	8
720	8
724	8
737	7
738	8
751	3
766	7
770	8
788	7
792	8
793	7
799	8
802	7
805	8
811	8
820	8
822	8
826	8
838	6
856	8
858	8
865	8
872	7
879	8
883	8
885	7
888	7
894	8
895	8
900	8
904	8
907	8
923	8
926	8
932	8
935	8
938	7
943	7
946	8
952	8
954	7
958	8
972	8
974	8
977	8
982	7
987	7
