534	1	182
648	1	606
387	1	14
740	1	76
264	2	387
827	1	468
524	1	929
133	1	231
231	2	415
62	1	301
164	1	420
899	1	897
597	1	518
326	2	121
332	1	729
534	1	182
508	1	622
316	2	316
316	2	712
316	2	713
316	1	316
17	1	326
304	1	937
316	1	288
316	1	366
102	1	468
44	1	190
241	1	918
241	1	918
357	1	560
915	1	192
326	2	301
316	2	326
570	1	533
788	2	407
697	1	24
264	1	185
482	1	180
316	1	892
557	1	827
618	1	618
38	1	119
304	1	891
727	1	727
102	1	102
62	1	427
478	5	905
324	1	790
476	1	661
476	1	740
476	1	476
27	1	790
27	1	790
793	2	228
573	1	436
986	1	573
969	1	532
257	2	33
314	1	945
208	2	383
96	1	851
203	2	138
362	2	360
275	1	65
565	1	556
102	1	731
652	1	427
258	1	662
947	1	713
534	1	486
827	2	264
567	1	322
824	45	301
912	1	740
912	1	740
227	1	474
714	2	110
743	2	280
565	1	834
241	1	102
946	1	664
946	1	664
182	1	546
182	1	916
743	5	948
326	2	563
301	1	927
471	1	339
120	2	120
955	1	242
638	2	228
648	1	790
739	2	775
180	1	227
708	1	78
899	2	420
470	1	845
180	1	790
326	2	342
960	1	698
549	1	393
66	1	535
534	1	573
393	1	781
964	1	228
446	5	905
300	2	558
764	1	39
764	1	39
326	2	401
401	1	915
790	1	727
557	30	311
929	1	929
929	1	929
308	2	110
182	1	433
182	1	316
727	1	856
727	1	369
688	5	769
269	1	910
790	1	824
30	1	102
944	1	383
376	1	326
614	1	897
300	1	272
793	2	204
316	1	742
334	1	580
334	1	580
647	1	47
269	2	891
430	1	177
961	1	976
159	1	752
115	1	66
228	1	316
182	1	326
731	1	622
282	1	697
282	2	360
408	2	629
227	1	237
548	1	314
449	1	47
974	1	974
974	2	974
316	2	415
269	2	338
230	1	33
393	1	180
788	1	648
743	2	360
182	1	498
182	1	498
498	1	314
577	2	518
314	1	962
228	1	189
42	1	179
269	1	842
269	1	842
304	1	741
641	1	641
228	2	464
657	1	43
314	1	538
349	2	264
349	2	264
732	1	295
740	1	314
454	1	43
565	1	727
534	1	401
951	2	937
895	1	781
895	1	781
492	1	639
301	1	853
549	1	980
698	2	39
755	1	393
182	1	301
3	1	379
316	1	534
227	1	379
182	1	316
182	1	316
391	1	148
391	1	148
314	1	358
314	1	522
534	1	153
534	1	153
227	1	182
231	2	14
139	2	139
641	1	301
416	1	236
360	2	439
981	2	949
641	1	316
501	2	760
66	1	66
943	1	910
563	1	326
794	1	291
311	2	362
205	1	727
565	2	264
79	1	227
533	2	984
339	1	944
24	1	14
24	1	14
622	1	316
194	2	891
170	2	842
97	2	802
479	2	407
159	1	534
908	1	168
557	2	180
304	1	769
304	1	769
910	2	910
436	1	907
475	2	475
646	1	182
500	1	799
172	2	155
172	2	730
172	2	89
834	1	255
834	5	255
834	1	769
641	1	417
110	2	346
42	1	14
42	1	14
316	1	257
956	1	858
376	1	413
62	1	180
62	1	228
301	1	781
617	1	360
393	1	668
518	2	563
459	1	509
508	1	301
565	2	565
316	2	228
864	1	543
864	1	543
718	1	573
718	1	62
718	1	132
718	1	228
718	1	638
64	1	102
220	2	594
300	1	706
518	1	639
518	2	639
908	2	442
534	1	692
313	1	871
496	2	326
536	2	206
180	1	863
445	1	35
579	1	269
416	1	62
196	1	915
543	1	518
577	2	514
641	1	80
565	1	957
182	1	790
182	1	326
827	1	584
301	1	227
565	2	264
891	1	697
331	1	698
263	1	275
304	1	311
744	2	938
648	1	790
648	1	790
159	1	534
827	1	835
314	1	696
416	1	62
102	1	237
102	1	453
39	1	436
229	2	561
102	1	639
537	1	102
365	1	570
959	2	959
376	1	740
376	1	740
66	1	326
502	1	180
363	1	805
727	1	14
534	1	534
827	2	910
574	1	594
594	2	580
492	1	546
227	1	82
490	1	559
382	2	382
727	1	439
316	1	639
836	1	175
971	1	227
182	1	182
145	1	712
2	1	393
393	1	529
62	1	43
241	1	563
565	1	264
723	1	696
723	1	696
228	2	785
326	1	549
755	1	809
326	1	804
393	1	626
53	1	707
108	1	261
952	1	108
180	2	981
314	1	228
304	1	862
232	1	43
182	1	401
860	2	316
860	2	316
522	2	935
228	1	108
534	1	529
171	1	537
171	1	727
680	2	295
680	2	295
66	1	795
314	1	740
579	1	275
114	1	431
563	2	563
334	1	142
314	1	722
468	1	326
973	1	304
738	2	639
292	1	18
395	1	395
439	2	458
12	2	142
66	1	866
697	1	918
176	1	51
393	1	915
853	1	868
84	1	834
810	1	808
66	1	797
304	1	769
16	1	183
22	1	392
641	1	961
673	5	279
120	2	931
159	1	824
159	1	824
360	2	212
534	1	316
589	1	316
899	2	379
466	1	928
223	1	586
586	1	413
290	2	290
290	2	937
603	2	592
827	1	34
652	1	33
391	1	657
391	1	657
362	2	362
242	1	828
242	1	828
50	1	646
264	2	639
648	1	321
534	1	899
360	2	268
304	1	264
535	1	740
535	1	740
565	2	919
840	1	517
973	2	360
264	1	427
216	1	969
216	1	874
487	2	213
314	1	182
240	1	326
240	1	563
136	1	669
110	1	182
961	1	7
227	1	681
227	1	652
342	2	379
314	1	627
544	1	462
180	2	407
180	1	657
743	2	565
227	1	264
891	1	790
351	2	180
393	1	522
522	1	376
311	1	304
894	1	696
189	1	713
189	1	713
189	1	713
227	1	364
227	1	110
974	1	941
565	1	379
982	2	950
245	26	758
456	1	552
828	1	899
751	2	580
127	2	360
829	2	360
486	1	326
33	1	216
416	1	14
323	1	304
723	1	982
858	2	858
256	1	929
314	1	713
180	1	362
180	1	33
680	2	326
740	1	621
102	1	295
527	1	295
507	1	555
543	1	439
597	1	326
787	1	256
301	1	944
24	1	969
680	2	580
30	1	461
13	1	927
314	1	316
301	1	915
511	30	511
790	1	580
565	1	790
108	1	23
13	1	534
505	2	703
866	1	301
301	1	255
301	1	549
326	1	252
227	1	301
477	1	866
634	1	66
674	1	62
77	1	388
383	1	834
316	1	301
316	2	301
316	2	228
852	2	852
852	2	852
960	1	316
891	2	906
790	1	790
599	1	975
891	1	697
487	2	202
487	2	202
62	1	301
534	1	322
875	1	625
774	1	847
378	1	916
486	1	569
641	1	526
673	1	388
915	1	535
840	1	586
301	1	228
899	1	722
257	1	393
751	2	104
723	1	441
516	1	766
521	1	516
834	1	727
302	1	119
59	1	793
236	1	83
839	1	646
617	1	827
565	1	727
276	1	46
227	1	689
425	2	119
120	2	171
443	2	360
899	2	565
555	2	899
102	1	64
326	2	499
626	1	246
64	1	543
959	1	727
254	2	277
569	1	569
228	1	314
723	1	439
228	1	866
301	1	546
326	2	326
420	1	944
339	2	420
648	1	264
764	1	62
186	1	834
186	1	834
322	1	802
799	2	899
456	1	955
596	2	310
50	1	314
668	1	393
668	1	383
299	1	518
275	1	14
891	2	891
231	1	227
231	1	227
519	1	376
641	1	866
975	1	325
314	1	401
534	1	534
534	1	534
317	1	66
492	1	738
228	1	326
803	1	180
393	1	393
785	1	241
549	1	153
980	1	301
641	1	63
641	1	63
765	1	316
534	1	301
534	1	301
274	1	648
699	2	379
845	1	804
899	30	228
866	1	182
969	1	624
180	1	565
541	2	592
278	1	869
132	1	563
891	1	102
976	1	339
793	2	180
92	1	323
92	1	323
412	1	12
12	1	78
306	1	492
544	2	439
227	5	279
227	5	279
891	1	983
64	1	834
228	1	736
66	1	634
237	1	580
929	1	929
549	1	907
763	1	241
896	1	262
228	1	399
565	2	379
392	1	61
738	1	569
314	1	740
666	1	326
