1	8
2	7
3	7
5	7
6	7
7	7
8	7
9	8
10	7
11	8
13	8
14	7
15	7
16	7
17	8
18	8
19	7
20	8
21	7
22	8
23	8
24	8
25	7
26	8
28	8
29	7
30	7
31	7
34	8
35	8
36	7
40	7
41	8
42	8
44	7
45	7
46	8
47	8
48	6
51	7
52	8
53	8
54	8
57	6
58	8
60	8
61	6
62	8
65	8
66	8
67	8
68	7
69	8
71	7
72	8
73	8
74	7
75	8
76	8
78	8
79	8
80	8
81	7
83	8
86	8
87	7
88	8
89	7
90	7
91	8
92	7
93	8
96	8
97	7
98	8
99	7
102	8
103	8
104	7
105	8
106	7
107	7
108	8
110	7
111	8
112	8
113	7
115	8
116	8
117	8
121	7
122	8
123	8
124	7
125	7
126	8
127	7
128	8
129	7
130	8
131	8
132	8
133	8
134	8
135	8
136	8
137	8
138	7
140	7
142	7
144	8
145	8
146	7
147	8
150	7
151	7
152	7
153	8
154	7
155	7
156	8
157	7
158	7
159	8
160	8
161	7
162	7
163	8
164	7
165	8
166	8
167	8
168	8
169	7
170	7
171	7
172	7
173	7
174	7
175	7
176	7
177	8
178	8
179	8
180	7
181	7
182	8
183	8
185	8
186	7
187	7
188	8
189	8
190	8
191	7
192	6
193	8
194	7
195	8
196	8
197	7
198	8
199	8
200	7
201	8
202	7
205	8
206	7
207	8
208	7
209	7
211	7
212	7
213	7
214	7
216	8
217	8
218	8
219	8
223	8
224	7
225	8
226	7
227	8
228	7
231	7
232	7
233	8
234	7
236	7
237	7
239	8
241	8
242	8
243	8
244	7
245	4
247	8
248	8
249	8
250	8
252	8
253	7
255	6
256	8
257	7
258	8
260	8
261	7
262	8
263	7
264	7
265	7
266	6
267	8
268	7
269	7
270	8
271	8
272	8
273	7
274	7
275	8
276	8
277	7
278	8
279	6
280	7
281	7
282	7
283	8
284	7
285	7
286	7
287	7
289	8
290	7
291	8
294	7
295	7
296	8
297	7
298	8
299	8
300	7
302	7
304	8
306	8
307	7
309	7
310	7
311	7
313	8
314	8
315	8
317	8
318	8
319	7
320	8
321	7
322	8
323	8
324	6
326	7
327	7
329	7
330	7
331	7
332	7
333	8
335	7
337	8
338	7
340	7
341	8
342	7
343	8
344	7
345	7
346	7
348	7
349	7
351	7
353	8
354	8
355	7
356	8
358	8
361	8
362	7
365	7
366	8
369	8
370	7
371	8
372	8
373	8
375	8
376	8
378	8
379	7
380	8
381	7
382	7
384	8
386	7
388	8
389	7
390	7
392	8
393	8
394	7
395	8
397	7
398	8
399	8
400	7
402	8
403	7
405	7
406	8
407	7
408	7
409	2
410	8
411	8
412	8
413	8
414	8
416	8
417	7
418	7
419	7
421	7
422	8
